,pureza,entropia,silhueta,n_groups
0.5,0.46621621621621623,1.6265302565285293,0.1414787937701701,3.0
0.51,0.5337837837837838,1.547754983126489,0.13970411875066036,4.0
0.52,0.5472972972972973,1.4842381783171827,0.12527146854855928,4.0
0.53,0.5236486486486487,1.6001532313625906,0.12147759722636263,4.0
0.54,0.5304054054054054,1.583073028500712,0.12348707311300984,4.0
0.55,0.42905405405405406,1.6575785466495203,0.1515610823312638,3.0
0.56,0.42905405405405406,1.6575785466495203,0.1515610823312638,3.0
0.57,0.42905405405405406,1.6575785466495203,0.1515610823312638,3.0
0.58,0.44256756756756754,1.622168683385068,0.14121459376368878,3.0
0.59,0.44256756756756754,1.622168683385068,0.14121459376368878,3.0
0.6,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.61,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.62,0.5135135135135136,1.548118964567113,0.14268692206314734,4.0
0.63,0.44256756756756754,1.622168683385068,0.14121459376368878,3.0
0.64,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.65,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.66,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.67,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.68,0.43581081081081086,1.6804660321964158,0.14448317467933877,3.0
0.69,0.5641891891891893,1.5148053833738477,0.1334898120663504,4.0
0.7,0.5709459459459459,1.4597647455426137,0.1257894160072839,4.0
0.71,0.5135135135135136,1.548118964567113,0.14268692206314734,4.0
0.72,0.48648648648648646,1.5639639303827955,0.15193019777670247,4.0
0.73,0.46621621621621623,1.5743539539565123,0.13827116878643017,4.0
0.74,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.75,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.76,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.77,0.4425675675675676,1.6321922608229178,0.12586388466131138,3.0
0.78,0.46621621621621623,1.5743539539565123,0.13827116878643017,4.0
0.79,0.4425675675675676,1.6321922608229178,0.12586388466131138,3.0
0.8,0.46621621621621623,1.5743539539565123,0.13827116878643017,4.0
0.81,0.48648648648648646,1.5639639303827955,0.15193019777670247,4.0
0.82,0.4425675675675676,1.6321922608229178,0.12586388466131138,3.0
0.83,0.4425675675675676,1.6321922608229178,0.12586388466131138,3.0
0.84,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.85,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.86,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.87,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.88,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.89,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.9,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.91,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.92,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.93,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.94,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
0.95,0.4932432432432432,1.5881656358232699,0.13760103897669412,3.0
